rank,homepage_url,num_funding_rounds,total_funding_usd,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,days_since_founding,days_since_last_funding,status_acquired,status_closed,status_ipo,status_operating,category_groups_list_Energy,category_groups_list_Sustainability,employee_count_1-10,employee_count_11-50,employee_count_51-100
939315,1,2,6658694,0,1,0,1,1,1,5353.0,2632.0,0,0,0,1,1,0,0,1,0
434902,1,0,0,1,1,1,1,1,1,6084.0,0.0,0,0,0,1,1,0,0,1,0
1480389,1,0,0,1,1,0,1,1,1,5719.0,0.0,0,0,0,1,1,0,1,0,0
789463,1,0,0,1,1,1,0,1,1,0.0,0.0,0,0,0,1,1,0,0,0,1
2516901,1,0,0,1,1,1,0,1,1,0.0,0.0,0,1,0,0,0,1,1,0,0
342339,1,0,0,1,1,0,1,1,1,16311.0,0.0,0,1,0,0,1,0,0,0,1
122727,1,1,2567154,1,1,0,0,0,1,4592.0,3191.0,0,1,0,0,1,0,1,0,0
2502726,1,0,0,1,1,1,1,1,1,5567.0,0.0,0,0,0,1,1,0,0,1,0
2915415,1,0,0,1,1,0,0,0,1,0.0,0.0,0,1,0,0,1,0,1,0,0
2422020,1,0,0,1,1,1,1,1,1,4988.0,0.0,0,1,0,0,1,0,1,0,0
512817,1,0,0,1,1,1,1,1,1,6814.0,0.0,0,0,0,1,1,0,1,0,0
1757170,1,0,0,1,0,1,1,1,1,3527.0,0.0,0,0,0,1,1,0,1,0,0
299351,1,0,0,1,1,1,1,1,1,5353.0,0.0,0,0,0,1,1,0,0,1,0
338769,1,0,0,0,1,1,1,1,1,4623.0,0.0,0,0,0,1,1,0,0,0,1
1349810,1,0,0,0,0,0,1,0,1,17407.0,0.0,0,0,0,1,1,0,0,0,1
1020928,1,0,0,1,1,1,1,0,1,7180.0,0.0,0,0,0,1,1,0,0,1,0
179301,1,3,80000,1,1,1,1,1,1,3556.0,2616.0,0,0,0,1,0,1,1,0,0
1920583,1,0,0,0,0,1,0,1,0,23981.0,0.0,1,0,0,0,1,0,1,0,0
282560,1,1,0,1,1,1,1,1,1,3468.0,1638.0,1,0,0,0,0,1,0,1,0
1089893,1,0,0,1,1,1,1,0,1,5719.0,0.0,0,0,0,1,1,0,0,0,1
2743024,1,0,0,1,0,0,0,0,1,0.0,0.0,0,1,0,0,1,0,1,0,0
2729582,1,0,0,1,1,0,0,1,1,5719.0,0.0,0,0,0,1,0,1,1,0,0
2268913,1,0,0,1,1,1,1,1,1,4258.0,0.0,0,0,0,1,1,0,0,1,0
206370,1,0,0,1,1,1,1,1,1,3162.0,0.0,0,0,0,1,1,0,0,1,0
657451,1,0,0,1,1,0,1,1,1,4258.0,0.0,0,0,0,1,1,0,1,0,0
679346,1,0,0,1,1,1,1,1,1,3711.0,0.0,0,0,0,1,1,0,0,1,0
2623969,0,0,0,0,0,0,0,0,1,6206.0,0.0,1,0,0,0,0,1,1,0,0
843282,1,0,0,1,1,0,1,0,1,15580.0,0.0,1,0,0,0,0,1,0,1,0
2333275,1,0,0,1,0,0,0,0,1,0.0,0.0,0,1,0,0,0,1,1,0,0
2387428,1,0,0,1,1,1,0,1,1,0.0,0.0,0,0,0,1,1,0,1,0,0
221852,1,1,45000,0,1,0,1,0,1,3527.0,3200.0,0,0,0,1,0,1,1,0,0
155943,1,2,899290,1,1,0,1,0,1,4045.0,3114.0,0,0,0,1,1,0,1,0,0
2564667,1,0,0,1,1,1,1,1,1,3527.0,0.0,0,1,0,0,1,0,1,0,0
1964746,1,0,0,1,1,1,1,1,1,6084.0,0.0,0,0,0,1,1,0,0,0,1
1658945,1,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,1,1,0,1,0,0
144855,1,2,525307,1,0,0,1,0,1,3892.0,3106.0,0,0,0,1,0,1,1,0,0
